Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Parental_Involvement_Encoded,Access_to_Resources_Encoded,Extracurricular_Activities_Encoded,Motivation_Level_Encoded,Internet_Access_Encoded,Family_Income_Encoded,Teacher_Quality_Encoded,School_Type_Encoded,Peer_Influence_Encoded,Learning_Disabilities_Encoded,Parental_Education_Level_Encoded,Distance_from_Home_Encoded,Gender_Encoded,Study_Attendance_Product,Study_Sleep_Balance,Academic_Support_Index,Home_Support_Index,Wellbeing_Index
15,80,Medium,Medium,Yes,9,91,Low,Yes,3,Low,Medium,Public,Positive,2,No,College,Moderate,Female,67,2,2,1,1,1,1,2,0,1,0,2,2,0,1200,1.6666666666666667,8,5,11
12,75,Medium,High,Yes,7,58,Medium,Yes,3,Medium,Medium,Private,Positive,4,No,College,Near,Male,66,2,3,1,2,1,2,2,1,1,0,2,3,1,900,1.7142857142857142,9,6,11
29,78,Medium,Medium,No,5,99,High,Yes,0,High,Medium,Public,Negative,1,No,High School,Moderate,Female,69,2,2,0,3,1,3,2,0,-1,0,1,2,0,2262,5.8,5,6,6
19,99,Medium,High,No,6,84,Medium,Yes,1,Medium,High,Public,Neutral,3,No,High School,Near,Male,72,2,3,0,2,1,2,3,0,0,0,1,3,1,1881,3.1666666666666665,8,5,9
20,74,Medium,High,No,8,89,Low,Yes,1,Medium,Medium,Public,Negative,2,No,College,Moderate,Female,66,2,3,0,1,1,2,2,0,-1,0,2,2,0,1480,2.5,7,6,10
11,78,High,Medium,Yes,8,100,High,Yes,1,Low,Medium,Public,Neutral,3,No,High School,Moderate,Male,66,3,2,1,3,1,1,2,0,0,0,1,2,1,858,1.375,6,5,11
17,65,Low,High,Yes,5,75,Medium,Yes,2,Low,Medium,Public,Positive,3,No,High School,Near,Female,63,1,3,1,2,1,1,2,0,1,0,1,3,0,1105,3.4,8,3,8
21,62,High,Low,Yes,6,54,High,Yes,0,High,High,Public,Positive,3,No,Postgraduate,Far,Male,64,3,1,1,3,1,3,3,0,1,0,3,1,1,1302,3.5,5,9,9
13,91,Low,Medium,No,6,90,Medium,Yes,1,High,Medium,Public,Negative,2,Yes,High School,Moderate,Female,65,1,2,0,2,1,3,2,0,-1,1,1,2,0,1183,2.1666666666666665,6,5,8
22,83,High,High,Yes,6,94,Medium,Yes,0,High,Medium,Public,Neutral,2,No,College,Moderate,Male,71,3,3,1,2,1,3,2,0,0,0,2,2,1,1826,3.6666666666666665,6,8,8
16,90,Medium,Medium,No,4,58,Medium,Yes,1,Low,Medium,Public,Neutral,3,No,High School,Moderate,Female,66,2,2,0,2,1,1,2,0,0,0,1,2,0,1440,4.0,6,4,7
18,66,High,High,No,4,51,Low,Yes,2,Low,Medium,Private,Neutral,2,No,College,Near,Male,64,3,3,0,1,1,1,2,1,0,0,2,3,1,1188,4.5,8,6,6
16,83,Low,Medium,No,6,57,Medium,Yes,0,High,Low,Public,Positive,4,Yes,High School,Near,Female,63,1,2,0,2,1,3,1,0,1,1,1,3,0,1328,2.6666666666666665,4,5,10
31,70,Medium,High,Yes,7,66,Medium,Yes,1,High,Medium,Public,Negative,3,No,College,Near,Male,69,2,3,1,2,1,3,2,0,-1,0,2,3,1,2170,4.428571428571429,7,7,10
20,69,Medium,Medium,Yes,8,96,Medium,Yes,2,Medium,High,Public,Positive,3,No,High School,Near,Male,67,2,2,1,2,1,2,3,0,1,0,1,3,1,1380,2.5,8,5,11
14,60,High,Medium,No,5,50,Medium,Yes,2,Medium,Medium,Public,Neutral,3,No,College,Near,Female,61,3,2,0,2,1,2,2,0,0,0,2,3,0,840,2.8,7,7,8
25,65,High,Medium,No,5,90,Medium,Yes,2,Medium,Medium,Public,Positive,3,No,College,Moderate,Female,68,3,2,0,2,1,2,2,0,1,0,2,2,0,1625,5.0,7,7,8
13,72,Low,Medium,No,6,93,Low,Yes,1,Low,Medium,Public,Negative,3,No,High School,Near,Male,61,1,2,0,1,1,1,2,0,-1,0,1,3,1,936,2.1666666666666665,6,3,9
21,65,Medium,Low,Yes,7,91,Low,Yes,2,Medium,High,Public,Positive,3,No,High School,Far,Female,64,2,1,1,1,1,2,3,0,1,0,1,1,0,1365,3.0,7,5,10
8,99,Medium,Medium,No,9,54,Low,Yes,2,Low,Medium,Public,Neutral,5,No,Postgraduate,Near,Female,67,2,2,0,1,1,1,2,0,0,0,3,3,0,792,0.8888888888888888,7,6,14
12,72,Low,Medium,Yes,8,84,Medium,Yes,1,Low,Medium,Public,Positive,5,No,High School,Near,Female,63,1,2,1,2,1,1,2,0,1,0,1,3,0,864,1.5,6,3,13
21,65,Low,Medium,Yes,6,98,Low,Yes,1,Medium,High,Public,Negative,4,No,High School,Near,Male,64,1,2,1,1,1,2,3,0,-1,0,1,3,1,1365,3.5,7,4,10
24,68,High,Medium,No,8,56,Low,Yes,3,High,High,Public,Neutral,1,No,College,Near,Male,67,3,2,0,1,1,3,3,0,0,0,2,3,1,1632,3.0,9,8,9
21,84,Medium,Medium,Yes,6,52,Low,Yes,1,Medium,High,Public,Neutral,2,Yes,College,Far,Female,65,2,2,1,1,1,2,3,0,0,1,2,1,0,1764,3.5,7,6,8
19,63,Low,High,No,7,94,Medium,Yes,1,Medium,Medium,Private,Positive,3,No,High School,Moderate,Male,64,1,3,0,2,1,2,2,1,1,0,1,2,1,1197,2.7142857142857144,7,4,10
18,94,Medium,High,Yes,7,82,Medium,Yes,3,Medium,Medium,Private,Negative,2,Yes,College,Near,Male,70,2,3,1,2,1,2,2,1,-1,1,2,3,1,1692,2.5714285714285716,9,6,9
11,98,Medium,Medium,Yes,9,82,Low,Yes,1,Medium,Medium,Private,Positive,3,No,Postgraduate,Far,Male,68,2,2,1,1,1,2,2,1,1,0,3,1,1,1078,1.2222222222222223,6,7,12
16,70,Medium,Medium,Yes,8,98,Medium,Yes,2,Medium,Medium,Public,Positive,3,No,High School,Moderate,Male,65,2,2,1,2,1,2,2,0,1,0,1,2,1,1120,2.0,7,5,11
17,78,Medium,Medium,Yes,6,88,Medium,Yes,1,Medium,High,Private,Positive,3,No,College,Near,Female,68,2,2,1,2,1,2,3,1,1,0,2,3,0,1326,2.8333333333333335,7,6,9
26,61,Medium,Low,Yes,6,70,Medium,Yes,2,Low,Medium,Public,Positive,3,No,High School,Moderate,Female,64,2,1,1,2,1,1,2,0,1,0,1,2,0,1586,4.333333333333333,6,4,9
22,86,Low,Medium,Yes,7,72,Low,Yes,3,Low,High,Public,Positive,2,No,High School,Moderate,Male,68,1,2,1,1,1,1,3,0,1,0,1,2,1,1892,3.142857142857143,9,3,9
9,77,Medium,Medium,No,5,57,Medium,Yes,2,Medium,High,Public,Neutral,3,No,High School,Near,Male,63,2,2,0,2,1,2,3,0,0,0,1,3,1,693,1.8,8,5,8
22,71,Low,Medium,Yes,7,65,Low,Yes,1,Medium,Low,Public,Positive,4,No,College,Moderate,Male,64,1,2,1,1,1,2,1,0,1,0,2,2,1,1562,3.142857142857143,5,5,11
18,68,High,Medium,No,7,72,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,College,Near,Male,64,3,2,0,2,1,2,2,0,0,0,2,3,1,1224,2.5714285714285716,5,7,10
16,86,Low,Medium,Yes,8,63,Medium,Yes,2,Medium,Medium,Public,Positive,4,No,High School,Near,Male,67,1,2,1,2,1,2,2,0,1,0,1,3,1,1376,2.0,7,4,12
24,77,High,Low,No,8,96,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Near,Female,67,3,1,0,2,1,2,2,0,0,0,1,3,0,1848,3.0,4,6,11
26,67,Medium,High,Yes,7,51,Low,Yes,2,High,High,Private,Neutral,4,Yes,Postgraduate,Far,Female,66,2,3,1,1,1,3,3,1,0,1,3,1,0,1742,3.7142857142857144,9,8,11
26,88,Medium,High,Yes,5,79,Medium,Yes,1,Low,High,Private,Positive,4,No,College,Moderate,Male,72,2,3,1,2,1,1,3,1,1,0,2,2,1,2288,5.2,8,5,9
15,83,Medium,High,No,5,89,Low,No,1,Medium,High,Public,Neutral,2,Yes,High School,Near,Female,65,2,3,0,1,0,2,3,0,0,1,1,3,0,1245,3.0,7,5,7
18,94,Medium,Medium,Yes,6,87,High,Yes,1,Medium,Medium,Public,Positive,4,No,High School,Near,Male,71,2,2,1,3,1,2,2,0,1,0,1,3,1,1692,3.0,6,5,10
22,65,High,Low,No,8,82,Medium,Yes,2,Medium,High,Public,Positive,1,No,Postgraduate,Near,Female,66,3,1,0,2,1,2,3,0,1,0,3,3,0,1430,2.75,7,8,9
26,91,Medium,Low,Yes,8,71,Medium,Yes,0,Low,Medium,Private,Neutral,3,No,High School,Moderate,Male,68,2,1,1,2,1,1,2,1,0,0,1,2,1,2366,3.25,4,4,11
17,87,Medium,Medium,No,7,96,Medium,Yes,1,High,Medium,Public,Negative,5,No,Postgraduate,Near,Female,70,2,2,0,2,1,3,2,0,-1,0,3,3,0,1479,2.4285714285714284,6,8,12
19,65,Medium,Medium,Yes,10,66,Low,Yes,0,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,62,2,2,1,1,1,1,2,0,1,0,1,2,1,1235,1.9,5,4,13
13,88,Low,High,Yes,9,88,High,Yes,2,Low,High,Private,Negative,4,No,Postgraduate,Far,Male,68,1,3,1,3,1,1,3,1,-1,0,3,1,1,1144,1.4444444444444444,9,5,13
13,78,Medium,High,Yes,9,96,High,Yes,2,Low,Medium,Public,Neutral,3,No,College,Moderate,Male,67,2,3,1,3,1,1,2,0,0,0,2,2,1,1014,1.4444444444444444,8,5,12
25,98,Low,High,Yes,8,56,Medium,No,0,Medium,High,Private,Neutral,3,No,Postgraduate,Near,Male,71,1,3,1,2,0,2,3,1,0,0,3,3,1,2450,3.125,6,6,11
28,66,Medium,High,Yes,8,97,Medium,Yes,0,Medium,Medium,Public,Neutral,2,No,High School,Near,Male,68,2,3,1,2,1,2,2,0,0,0,1,3,1,1848,3.5,6,5,10
20,86,Medium,Medium,Yes,8,89,Medium,Yes,1,Low,Medium,Public,Negative,3,No,Postgraduate,Near,Male,69,2,2,1,2,1,1,2,0,-1,0,3,3,1,1720,2.5,6,6,11
26,75,Low,High,Yes,4,81,High,Yes,3,Medium,High,Private,Positive,2,No,High School,Moderate,Male,70,1,3,1,3,1,2,3,1,1,0,1,2,1,1950,6.5,10,4,6
22,98,Medium,High,No,5,69,Low,No,1,Low,High,Public,Negative,4,No,High School,Moderate,Female,69,2,3,0,1,0,1,3,0,-1,0,1,2,0,2156,4.4,7,4,9
16,73,Medium,Medium,No,7,95,Medium,Yes,1,Low,Medium,Public,Negative,4,No,College,Near,Male,65,2,2,0,2,1,1,2,0,-1,0,2,3,1,1168,2.2857142857142856,6,5,11
22,98,Medium,Low,Yes,7,52,Medium,No,3,Medium,Medium,Public,Positive,3,No,College,Near,Female,70,2,1,1,2,0,2,2,0,1,0,2,3,0,2156,3.142857142857143,6,6,10
29,96,Medium,Low,Yes,7,72,Medium,Yes,1,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,71,2,1,1,2,1,1,2,0,1,0,1,2,1,2784,4.142857142857143,5,4,10
20,71,Medium,Medium,Yes,7,88,Medium,Yes,1,Low,Low,Public,Neutral,4,No,College,Near,Female,65,2,2,1,2,1,1,1,0,0,0,2,3,0,1420,2.857142857142857,5,5,11
29,92,Low,Medium,No,4,91,Medium,Yes,2,Medium,Medium,Public,Negative,1,No,Postgraduate,Near,Female,72,1,2,0,2,1,2,2,0,-1,0,3,3,0,2668,7.25,7,6,5
4,100,High,High,Yes,8,60,High,Yes,0,Medium,High,Private,Positive,4,No,College,Moderate,Male,69,3,3,1,3,1,2,3,1,1,0,2,2,1,400,0.5,7,7,12
25,70,Medium,Medium,No,7,52,Medium,Yes,1,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Female,66,2,2,0,2,1,2,2,0,1,0,3,3,0,1750,3.5714285714285716,6,7,10
21,77,Low,Medium,Yes,7,90,Medium,Yes,4,Medium,Medium,Private,Neutral,3,No,Postgraduate,Moderate,Male,68,1,2,1,2,1,2,2,1,0,0,3,2,1,1617,3.0,9,6,10
18,81,High,Low,Yes,8,71,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Female,65,3,1,1,2,1,2,2,0,0,0,1,2,0,1458,2.25,4,6,11
21,72,Medium,Medium,Yes,5,57,Medium,Yes,1,High,Medium,Public,Neutral,5,Yes,College,Moderate,Male,64,2,2,1,2,1,3,2,0,0,1,2,2,1,1512,4.2,6,7,10
8,61,Medium,Medium,Yes,7,54,Medium,Yes,1,High,Medium,Public,Positive,3,No,College,Near,Male,60,2,2,1,2,1,3,2,0,1,0,2,3,1,488,1.1428571428571428,6,7,10
19,69,Medium,High,Yes,7,82,High,Yes,1,Low,Medium,Public,Negative,2,No,High School,Near,Male,65,2,3,1,3,1,1,2,0,-1,0,1,3,1,1311,2.7142857142857144,7,4,9
22,71,High,Medium,No,6,79,High,Yes,1,Low,Low,Public,Positive,3,No,High School,Near,Male,66,3,2,0,3,1,1,1,0,1,0,1,3,1,1562,3.6666666666666665,5,5,9
29,78,High,High,Yes,4,93,Low,Yes,5,Medium,High,Public,Neutral,3,No,College,Near,Male,74,3,3,1,1,1,2,3,0,0,0,2,3,1,2262,7.25,12,7,7
17,67,Medium,Medium,Yes,5,52,High,Yes,2,Medium,Medium,Private,Negative,3,No,High School,Far,Female,62,2,2,1,3,1,2,2,1,-1,0,1,1,0,1139,3.4,7,5,8
15,95,Medium,Medium,No,7,93,Medium,Yes,2,Low,Medium,Public,Positive,4,No,College,Moderate,Male,70,2,2,0,2,1,1,2,0,1,0,2,2,1,1425,2.142857142857143,7,5,11
17,88,Medium,High,Yes,7,94,Low,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,69,2,3,1,1,1,2,2,0,0,0,1,3,1,1496,2.4285714285714284,6,5,10
25,63,Medium,High,Yes,7,72,Medium,Yes,3,Medium,High,Private,Negative,4,No,College,Far,Male,67,2,3,1,2,1,2,3,1,-1,0,2,1,1,1575,3.5714285714285716,10,6,11
22,86,Low,Low,No,6,54,Medium,Yes,2,Medium,Medium,Public,Neutral,0,No,High School,Moderate,Male,64,1,1,0,2,1,2,2,0,0,0,1,2,1,1892,3.6666666666666665,6,4,6
17,86,Medium,High,No,5,97,High,Yes,3,High,Medium,Public,Neutral,3,No,College,Near,Male,71,2,3,0,3,1,3,2,0,0,0,2,3,1,1462,3.4,9,7,8
23,98,Medium,Low,Yes,7,54,Low,Yes,0,Medium,Medium,Public,Negative,3,No,College,Near,Female,68,2,1,1,1,1,2,2,0,-1,0,2,3,0,2254,3.2857142857142856,4,6,10
21,60,High,Medium,No,7,80,Medium,Yes,0,Medium,High,Public,Neutral,4,Yes,College,Near,Male,64,3,2,0,2,1,2,3,0,0,1,2,3,1,1260,3.0,6,7,11
26,70,Medium,Low,Yes,8,75,Medium,Yes,1,Medium,Low,Private,Neutral,4,Yes,High School,Far,Female,63,2,1,1,2,1,2,1,1,0,1,1,1,0,1820,3.25,4,5,12
16,97,Medium,Medium,Yes,6,92,Low,Yes,0,High,Medium,Private,Positive,4,No,College,Near,Male,71,2,2,1,1,1,3,2,1,1,0,2,3,1,1552,2.6666666666666665,5,7,10
18,97,High,Medium,Yes,4,75,Low,Yes,0,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,69,3,2,1,1,1,1,2,0,1,0,1,2,1,1746,4.5,5,5,7
18,89,High,Medium,Yes,4,73,Medium,Yes,3,High,Medium,Private,Positive,2,No,College,Near,Female,100,3,2,1,2,1,3,2,1,1,0,2,3,0,1602,4.5,8,8,6
11,91,Medium,Medium,No,6,94,Medium,Yes,3,Medium,Medium,Public,Neutral,3,No,College,Moderate,Male,68,2,2,0,2,1,2,2,0,0,0,2,2,1,1001,1.8333333333333333,8,6,9
22,64,Low,Medium,No,7,98,Low,No,1,Medium,Medium,Public,Negative,3,No,High School,Near,Male,62,1,2,0,1,0,2,2,0,-1,0,1,3,1,1408,3.142857142857143,5,4,10
22,81,Medium,Medium,Yes,7,77,Low,Yes,2,Medium,Medium,Public,Positive,3,No,Postgraduate,Far,Female,68,2,2,1,1,1,2,2,0,1,0,3,1,0,1782,3.142857142857143,7,7,10
20,69,High,High,Yes,6,73,Medium,Yes,2,Low,Medium,Private,Positive,3,No,High School,Far,Male,66,3,3,1,2,1,1,2,1,1,0,1,1,1,1380,3.3333333333333335,8,5,9
19,67,Low,Medium,No,5,92,High,Yes,0,Medium,Medium,Public,Positive,3,No,College,Near,Male,64,1,2,0,3,1,2,2,0,1,0,2,3,1,1273,3.8,5,5,8
12,92,Medium,Medium,No,4,92,High,Yes,2,Medium,High,Public,Neutral,3,Yes,High School,Moderate,Male,67,2,2,0,3,1,2,3,0,0,1,1,2,1,1104,3.0,8,5,7
17,65,Medium,High,Yes,8,66,Medium,Yes,1,High,High,Public,Neutral,4,Yes,Postgraduate,Moderate,Female,65,2,3,1,2,1,3,3,0,0,1,3,2,0,1105,2.125,8,8,12
18,79,Medium,Medium,Yes,7,79,Medium,Yes,0,Low,High,Private,Neutral,3,No,College,Far,Male,65,2,2,1,2,1,1,3,1,0,0,2,1,1,1422,2.5714285714285716,6,5,10
15,98,High,Medium,No,6,58,High,Yes,0,Low,High,Public,Positive,3,No,College,Near,Male,69,3,2,0,3,1,1,3,0,1,0,2,3,1,1470,2.5,6,6,9
19,67,Medium,Medium,No,5,82,High,Yes,1,Low,Low,Private,Negative,3,No,High School,Near,Male,63,2,2,0,3,1,1,1,1,-1,0,1,3,1,1273,3.8,5,4,8
22,99,Medium,Low,Yes,6,92,Low,Yes,3,Medium,Medium,Public,Negative,4,No,Postgraduate,Moderate,Male,72,2,1,1,1,1,2,2,0,-1,0,3,2,1,2178,3.6666666666666665,7,7,10
31,100,Medium,Medium,No,7,59,Medium,Yes,2,High,High,Public,Positive,5,No,Postgraduate,Moderate,Male,76,2,2,0,2,1,3,3,0,1,0,3,2,1,3100,4.428571428571429,8,8,12
21,82,Medium,High,Yes,7,66,High,Yes,3,Low,Medium,Public,Positive,3,Yes,College,Near,Female,69,2,3,1,3,1,1,2,0,1,1,2,3,0,1722,3.0,9,5,10
22,67,Medium,Medium,Yes,7,72,High,Yes,3,Low,High,Public,Positive,2,No,Postgraduate,Moderate,Female,67,2,2,1,3,1,1,3,0,1,0,3,2,0,1474,3.142857142857143,9,6,9
20,73,High,Medium,Yes,9,92,Medium,Yes,2,Medium,High,Public,Positive,3,No,College,Near,Male,69,3,2,1,2,1,2,3,0,1,0,2,3,1,1460,2.2222222222222223,8,7,12
8,77,High,Medium,Yes,6,87,Medium,Yes,0,Low,Medium,Public,Neutral,2,No,High School,Moderate,Male,63,3,2,1,2,1,1,2,0,0,0,1,2,1,616,1.3333333333333333,5,5,8
20,72,Medium,Medium,No,9,66,Medium,Yes,3,Low,High,Private,Positive,3,No,Postgraduate,Near,Male,67,2,2,0,2,1,1,3,1,1,0,3,3,1,1440,2.2222222222222223,9,6,12
20,71,Low,High,Yes,7,62,High,Yes,2,Medium,Medium,Public,Negative,5,No,College,Near,Male,66,1,3,1,3,1,2,2,0,-1,0,2,3,1,1420,2.857142857142857,8,5,12
35,99,High,High,Yes,7,85,Low,Yes,2,Medium,High,Private,Neutral,2,No,Postgraduate,Near,Female,79,3,3,1,1,1,2,3,1,0,0,3,3,0,3465,5.0,9,8,9
19,66,Medium,Medium,No,8,74,Medium,Yes,1,High,Medium,Public,Neutral,3,No,High School,Near,Female,64,2,2,0,2,1,3,2,0,0,0,1,3,0,1254,2.375,6,6,11
22,89,High,High,Yes,6,80,Medium,Yes,1,High,High,Public,Positive,3,No,High School,Near,Female,73,3,3,1,2,1,3,3,0,1,0,1,3,0,1958,3.6666666666666665,8,7,9
20,60,Low,High,No,7,82,High,Yes,2,Low,High,Public,Positive,4,Yes,High School,Near,Male,63,1,3,0,3,1,1,3,0,1,1,1,3,1,1200,2.857142857142857,9,3,11
13,84,Medium,Medium,No,5,78,Medium,Yes,1,Low,High,Public,Positive,2,No,High School,Near,Male,65,2,2,0,2,1,1,3,0,1,0,1,3,1,1092,2.6,7,4,7
27,97,Low,High,Yes,8,81,Medium,Yes,0,High,Medium,Public,Positive,5,No,High School,Near,Female,73,1,3,1,2,1,3,2,0,1,0,1,3,0,2619,3.375,6,5,13
25,72,High,High,Yes,8,94,Low,Yes,2,Low,Medium,Private,Positive,4,No,College,Moderate,Female,70,3,3,1,1,1,1,2,1,1,0,2,2,0,1800,3.125,8,6,12
25,67,High,Medium,No,9,93,High,Yes,2,Low,High,Public,Positive,3,Yes,High School,Near,Female,68,3,2,0,3,1,1,3,0,1,1,1,3,0,1675,2.7777777777777777,8,5,12
15,86,Medium,Medium,Yes,7,57,Medium,Yes,1,Medium,Medium,Public,Negative,3,No,College,Near,Male,65,2,2,1,2,1,2,2,0,-1,0,2,3,1,1290,2.142857142857143,6,6,10
28,89,Low,High,Yes,9,79,High,Yes,0,Low,Medium,Private,Positive,1,No,College,Moderate,Female,71,1,3,1,3,1,1,2,1,1,0,2,2,0,2492,3.111111111111111,6,4,10
12,88,Low,Medium,No,6,72,Low,Yes,2,Medium,Medium,Public,Positive,2,No,College,Far,Male,64,1,2,0,1,1,2,2,0,1,0,2,1,1,1056,2.0,7,5,8
24,73,Medium,High,Yes,8,64,Medium,Yes,4,High,Medium,Private,Neutral,3,Yes,College,Moderate,Male,68,2,3,1,2,1,3,2,1,0,1,2,2,1,1752,3.0,10,7,11
33,70,Medium,Medium,Yes,6,82,Low,Yes,1,Low,High,Public,Neutral,4,No,College,Near,Male,69,2,2,1,1,1,1,3,0,0,0,2,3,1,2310,5.5,7,5,10
14,98,Medium,Medium,No,7,76,Medium,Yes,0,Medium,High,Private,Positive,4,No,College,Moderate,Female,69,2,2,0,2,1,2,3,1,1,0,2,2,0,1372,2.0,6,6,11
17,97,Medium,Medium,No,8,89,Medium,Yes,1,Low,Medium,Public,Neutral,4,No,High School,Far,Male,69,2,2,0,2,1,1,2,0,0,0,1,1,1,1649,2.125,6,4,12
21,78,Medium,Medium,Yes,10,55,Medium,Yes,1,High,Low,Private,Positive,2,No,College,Near,Male,67,2,2,1,2,1,3,1,1,1,0,2,3,1,1638,2.1,5,7,12
17,94,Low,Medium,Yes,8,65,Low,Yes,4,Medium,Medium,Public,Neutral,6,No,High School,Far,Female,68,1,2,1,1,1,2,2,0,0,0,1,1,0,1598,2.125,9,4,14
11,78,Medium,High,Yes,8,51,Medium,Yes,2,Low,Medium,Public,Neutral,3,No,Postgraduate,Near,Male,64,2,3,1,2,1,1,2,0,0,0,3,3,1,858,1.375,8,6,11
20,77,Medium,Medium,No,6,87,Low,Yes,0,Low,High,Public,Positive,4,No,High School,Near,Female,66,2,2,0,1,1,1,3,0,1,0,1,3,0,1540,3.3333333333333335,6,4,10
14,66,High,Low,No,7,96,Medium,Yes,3,Low,High,Public,Negative,3,No,High School,Near,Male,63,3,1,0,2,1,1,3,0,-1,0,1,3,1,924,2.0,8,5,10
23,77,Medium,Medium,Yes,7,79,Medium,Yes,0,Low,High,Public,Neutral,2,No,High School,Moderate,Male,66,2,2,1,2,1,1,3,0,0,0,1,2,1,1771,3.2857142857142856,6,4,9
